Unnamed: 0,id,title,rating,genre,year,has_reviews,poster_url
197.0,tt1630029,Avatar: The Way of Water,7.5,"Action, Adventure, Fantasy",2022,True,
198.0,tt15474916,Smile,6.5,"Horror, Mystery, Thriller",2022,True,
199.0,tt10648342,Thor: Love and Thunder,6.2,"Action, Adventure, Comedy",2022,True,
200.0,tt15398776,Oppenheimer,8.3,"Biography, Drama, History",2023,True,
201.0,tt9603212,Mission: Impossible - Dead Reckoning Part One,7.6,"Action, Adventure, Thriller",2023,True,
202.0,tt10366206,John Wick: Chapter 4,7.6,"Action, Crime, Thriller",2023,True,
203.0,tt22375054,Strange Darling,7.1,"Horror, Thriller",2023,True,
204.0,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,6.7,"Action, Adventure, Drama",2023,True,
205.0,tt15671028,No Hard Feelings,6.3,"Comedy, Romance",2023,True,
206.0,tt26047818,Anyone But You,6.1,"Comedy, Romance",2023,True,
207.0,tt5884796,Plane,6.5,"Action, Adventure, Thriller",2023,True,
208.0,tt3107288,The Flash,7.5,"Action, Adventure, Drama",2023,True,
209.0,tt1517268,Barbie,6.8,"Adventure, Comedy, Fantasy",2023,True,
210.0,tt14230458,Poor Things,7.8,"Comedy, Drama, Romance",2023,True,
211.0,tt9362722,Spider-Man: Across the Spider-Verse,8.5,"Animation, Action, Adventure",2023,True,
212.0,tt5537002,Killers of the Flower Moon,7.6,"Crime, Drama, History",2023,True,
213.0,tt20215968,Hit Man,6.8,"Comedy, Crime, Romance",2023,True,
214.0,tt13238346,Past Lives,7.8,"Drama, Romance",2023,True,
215.0,tt4495098,Gran Turismo,7.1,"Action, Adventure, Drama",2023,True,
216.0,tt17351924,Saltburn,7.0,"Drama, Thriller",2023,True,
217.0,tt6791350,Guardians of the Galaxy Vol. 3,7.9,"Action, Adventure, Comedy",2023,True,
218.0,tt7160372,The Zone of Interest,7.3,"Drama, History, War",2023,True,
219.0,tt23849204,12th Fail,8.7,"Biography, Drama",2023,True,
220.0,tt11858890,The Creator,6.7,"Action, Adventure, Drama",2023,True,
221.0,tt21064584,The Iron Claw,7.6,"Biography, Drama, Sport",2023,True,
222.0,tt17009710,Anatomy of a Fall,7.6,"Crime, Drama, Thriller",2023,True,
223.0,tt2906216,Dungeons & Dragons: Honor Among Thieves,7.2,"Action, Adventure, Comedy",2023,True,
224.0,tt4873118,The Covenant,7.5,"Action, Drama, Thriller",2023,True,
225.0,tt5040012,Nosferatu,7.3,"Fantasy, Horror, Mystery",2024,True,
226.0,tt28015403,Heretic,7.0,"Horror, Thriller",2024,True,
227.0,tt9218128,Gladiator II,6.5,"Action, Adventure, Drama",2024,True,
228.0,tt28607951,Anora,7.5,"Comedy, Drama, Romance",2024,True,
229.0,tt1262426,Wicked,7.4,"Fantasy, Musical, Romance",2024,True,
230.0,tt27131358,We Live in Time,7.0,"Drama, Romance",2024,True,
231.0,tt17526714,The Substance,7.2,"Drama, Horror, Sci-Fi",2024,True,
232.0,tt8999762,The Brutalist,7.4,Drama,2024,True,
233.0,tt11563598,A Complete Unknown,7.3,"Biography, Drama, Music",2024,True,
234.0,tt15239678,Dune: Part Two,8.5,"Action, Adventure, Drama",2024,True,
235.0,tt12584954,Twisters,6.5,"Action, Adventure, Thriller",2024,True,
236.0,tt29623480,The Wild Robot,8.2,"Animation, Sci-Fi",2024,True,
237.0,tt20215234,Conclave,7.4,"Drama, Thriller",2024,True,
238.0,tt26625693,The Order,6.8,"Crime, Drama, Thriller",2024,True,
239.0,tt1431045,Deadpool & Wolverine,8.0,"Action, Comedy, Sci-Fi",2024,True,
240.0,tt5177120,The Ministry of Ungentlemanly Warfare,6.8,"Action, Comedy, War",2024,True,
241.0,tt12037194,Furiosa: A Mad Max Saga,7.5,"Action, Adventure, Sci-Fi",2024,True,
242.0,tt27534307,Speak No Evil,6.8,"Drama, Horror, Thriller",2024,True,
243.0,tt15314262,The Beekeeper,6.3,"Action, Crime, Thriller",2024,True,
244.0,tt14961016,I'm Still Here,8.6,"Biography, Drama, History",2024,True,
245.0,tt18259086,Sonic the Hedgehog 3,6.9,"Action, Adventure, Comedy",2024,True,
246.0,tt21382296,Carry-On,6.5,"Action, Crime, Thriller",2024,True,
247.0,tt28249919,Presence,6.1,"Drama, Horror, Thriller",2024,True,
248.0,tt17279496,Civil War,7.0,"Action, Thriller",2024,True,
249.0,tt27403986,Juror #2,7.0,"Crime, Drama, Mystery",2024,True,
,ind_000000,The Night Manager,7.7,"Action, Crime, Mystery",2023,False,
,ind_000001,The Jengaburu Curse,8.0,Thriller,2023,False,
,ind_000002,Bro,7.9,"Drama, Family, Fantasy",2023,False,
,ind_000003,Farzi,8.4,"Crime, Drama, Thriller",2023,False,
,ind_000004,Crackdown,8.1,"Action, Crime, Drama",2020,False,
,ind_000005,Sandeep Bhaiya,9.3,Drama,2023,False,
,ind_000006,3 Idiots,8.4,"Comedy, Drama",2009,False,
,ind_000007,Asur: Welcome to Your Dark Side,8.5,"Crime, Drama, Mystery",2020,False,
,ind_000008,Satyaprem Ki Katha,6.8,"Comedy, Drama, Musical",2023,False,
